# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
6
# Total LET value for curve
512.591576173
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_CarbonRun24MeV.csv
# Written at: 2019-04-11 09:22:43.147000
# r,Energy
0.0,2.1643069215778854
0.005,3.500129040758429
0.01,3.906399182630507
0.015,4.1793024836197095
0.02,4.376472015707097
0.025,4.53086642200596
0.03,4.656471755847779
0.035,4.7611501519212105
0.04,4.848927466980871
0.045,4.920470838846573
0.05,5.008721890206558
0.055,5.052285453183851
0.06,5.093214167353873
0.065,5.1296394027593255
0.07,5.160213791513324
0.075,5.187533791643961
0.08,5.2119712915886005
0.085,5.232740118356344
0.09,5.251074595061714
0.095,5.265248311490878
0.1,5.277692607627274
0.105,5.285344938415404
0.11,5.292713923795637
0.115,5.2982163378260445
0.12,5.302389326518954
0.125,5.306074850250755
0.13,5.308555927539128
0.135,5.309019926010094
0.14,5.308757630069056
0.145,5.309892477857813
0.15,5.309605753329867
0.155,5.306358040226997
0.16,5.303084982996376
0.165,5.300797973023241
0.17,5.297200313920094
0.175,5.293670276735901
0.18,5.290680156241909
0.185,5.2870135461841015
0.19,5.282805738653508
0.195,5.278960974084759
0.2,5.273917158539854
0.205,5.2685549057309995
0.21,5.263552542045176
0.215,5.2587933794190995
0.22,5.253578586349236
0.225,5.24910949155164
0.23,5.244573156911198
0.235,5.240229313603934
0.24,5.235798291000427
0.245,5.231550863966715
0.25,5.227724738446737
0.255,5.223983141964274
0.26,5.22026898251696
0.265,5.216492357457834
0.27,5.212343605068539
0.275,5.208890528651165
0.28,5.205837143507573
0.285,5.202981201458121
0.29,5.200100487210298
0.295,5.196988350362446
0.3,5.194064612464605
0.305,5.19129065316732
0.31,5.1885557705540295
0.315,5.186245275936347
0.32,5.184083264232521
0.325,5.1819154812430055
0.33,5.179931028315075
0.335,5.1780665717383085
0.34,5.176230565434617
0.345,5.174449889322245
0.35,5.172751627176148
0.355,5.171074689422443
0.36,5.16958513814528
0.365,5.168221713949345
0.37,5.166760504929334
0.375,5.165346751748426
