# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
6
# Total LET value for curve
151.722795426
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_CarbonRun120MeV.csv
# Written at: 2019-04-11 09:25:24.961000
# r,Energy
0.0,0.4654712882409514
0.005,0.7062942577713821
0.01,0.7818282820340079
0.015,0.8282636307439932
0.02,0.8575024847082653
0.025,0.8820740784432297
0.03,0.904193531386085
0.035,0.9234876422438503
0.04,0.9399609986226057
0.045,0.9536483971587449
0.05,0.9753545743369119
0.055,0.9863448143010469
0.06,0.9975895312170815
0.065,1.0088954067106297
0.07,1.0199089230329808
0.075,1.0301320397846223
0.08,1.0398529604290345
0.085,1.0491718807166022
0.09,1.0577388339814857
0.095,1.0659871898718272
0.1,1.0737777618323556
0.105,1.0814569899009705
0.11,1.0886352214339194
0.115,1.095498267925866
0.12,1.1022914852118062
0.125,1.1089186761799712
0.13,1.1150023233715376
0.135,1.1207183565077745
0.14,1.1270223287450234
0.145,1.1328117730863034
0.15,1.1380617955500252
0.155,1.1433821862527827
0.16,1.1490970807223744
0.165,1.1543409352321936
0.17,1.159064228264364
0.175,1.163866193272944
0.18,1.1685978286544132
0.185,1.1729474369853037
0.19,1.1771044104042805
0.195,1.1809662563268264
0.2,1.1853732326113713
0.205,1.1892115710175948
0.21,1.1930639194915778
0.215,1.19689082105655
0.22,1.2005092778426352
0.225,1.204249687973329
0.23,1.208410520189459
0.235,1.2123792284784507
0.24,1.215901036950401
0.245,1.219439723894746
0.25,1.2229243017473088
0.255,1.2261790310207308
0.26,1.22945200310604
0.265,1.2325424373677158
0.27,1.235647646740932
0.275,1.238969233636096
0.28,1.2420220047345216
0.285,1.245173790249133
0.29,1.2478320216718297
0.295,1.2507449034078988
0.3,1.2534201016145003
0.305,1.2563903225370134
0.31,1.2588724025380447
0.315,1.2612779570900132
0.32,1.2637901450987419
0.325,1.2663420660113094
0.33,1.2688502264111838
0.335,1.2713819817624759
0.34,1.273681716776197
0.345,1.2760259095116746
0.35,1.2784409671830375
0.355,1.2808045664373187
0.36,1.2832238935454263
0.365,1.2858169939745332
0.37,1.2879020103947634
0.375,1.289871861101796
0.38,1.2917983240798108
0.385,1.2939582143587187
0.39,1.2963145851508895
0.395,1.2987783361539886
0.4,1.3009305275149399
0.405,1.303510247016384
0.41,1.3055824873614994
0.415,1.3079290552345686
0.42,1.3096181350583986
0.425,1.3113014911341303
0.43,1.3131303485053918
0.435,1.3152396171088294
0.44,1.317436471548557
0.445,1.3191168143091498
0.45,1.3206516933062273
0.455,1.3231659448008344
0.46,1.3249982823934943
0.465,1.3272472266839799
0.47,1.3285823023516832
0.475,1.3307601700852243
0.48,1.332935389115136
0.485,1.3347288662210401
0.49,1.3362693601824132
0.495,1.3380425280952866
0.5,1.3396910600868186
0.505,1.341169678656941
0.51,1.3425212892459357
0.515,1.3444194226802526
0.52,1.3462393647979323
0.525,1.3469166477824788
0.53,1.3490420674188173
0.535,1.3499458106863098
0.54,1.3521223433791236
0.545,1.3531207751973247
0.55,1.3544219592216842
0.555,1.3564054198003748
0.56,1.3577357643614096
0.565,1.3589038751518066
0.57,1.360345212440312
0.575,1.3619980959757227
0.58,1.3636696275507711
0.585,1.3653189133109407
0.59,1.3669424393514922
0.595,1.3682073015419434
0.6,1.3694348705050603
0.605,1.3710999144191813
0.61,1.3726613253379567
0.615,1.3734481087655601
0.62,1.3757266777980768
0.625,1.376818001299704
0.63,1.3783184277216074
0.635,1.3790569616576225
0.64,1.381166790653221
0.645,1.3818233362479015
0.65,1.3833880104088556
0.655,1.3851167754526212
0.66,1.3856938400971166
0.665,1.3867159355687733
0.67,1.3879750954710233
0.675,1.3895624827910547
0.68,1.3908752304422305
0.685,1.3923335173361235
0.69,1.3936631357474825
0.695,1.3951706204571142
0.7,1.3964711722774967
0.705,1.3976030272585567
0.71,1.3983747623186307
0.715,1.399904388470047
0.72,1.4012994398185559
0.725,1.4027209062509547
0.73,1.4036142092150654
0.735,1.4047131834656417
0.74,1.4066083244402965
0.745,1.4078068184321602
0.75,1.4087664757855358
0.755,1.4105402522501156
0.76,1.4103058031543818
0.765,1.4120683622322374
0.77,1.4123043206093675
0.775,1.414080921137826
0.78,1.414284928252583
0.785,1.4162217848156438
0.79,1.4164248766329897
0.795,1.4167950319467115
0.8,1.4183662519207842
0.805,1.4185377311404181
0.81,1.4193148933707216
0.815,1.4209933017472702
0.82,1.4218165573388328
0.825,1.4225001234924477
0.83,1.4234077572179373
0.835,1.4244202731679758
