# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
6
# Total LET value for curve
265.774774907
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_CarbonRun60MeV.csv
# Written at: 2019-04-11 09:23:57.801000
# r,Energy
0.0,0.9110937594995319
0.005,1.4006653717684268
0.01,1.5554483234148582
0.015,1.6549881489293414
0.02,1.7233748714851491
0.025,1.779633250548537
0.03,1.82875760267056
0.035,1.8725746187543224
0.04,1.9103467875040505
0.045,1.9420797553059777
0.05,1.9891855872805075
0.055,2.014078012217425
0.06,2.039999752798419
0.065,2.0652201561586567
0.07,2.0881444647814256
0.075,2.1106062755224415
0.08,2.131847557325637
0.085,2.1525973756547856
0.09,2.171763437706125
0.095,2.189742794999294
0.1,2.206875348634353
0.105,2.2231940488781934
0.11,2.238855584782856
0.115,2.2535324618509027
0.12,2.2670306423019926
0.125,2.2803768310321426
0.13,2.293550650401452
0.135,2.305780859577137
0.14,2.317931037583635
0.145,2.329545903713299
0.15,2.340065178944193
0.155,2.3508951733987336
0.16,2.3616661359221607
0.165,2.371834945675938
0.17,2.380901629782477
0.175,2.3902657240351988
0.18,2.3989547298653338
0.185,2.4073561793455656
0.19,2.4155802299139473
0.195,2.4242028522677943
0.2,2.4330468878568623
0.205,2.441168905048758
0.21,2.448671544116447
0.215,2.45591366267822
0.22,2.4632002883523016
0.225,2.4696162471017984
0.23,2.475584230286509
0.235,2.482093950988434
0.24,2.4882189865023627
0.245,2.4942202024996702
0.25,2.500665952024951
0.255,2.506707228920237
0.26,2.512559973669031
0.265,2.5181201268649795
0.27,2.52343752738353
0.275,2.5290362814526977
0.28,2.5342899313472693
0.285,2.5397924422402314
0.29,2.544923355302481
0.295,2.55016520348013
0.3,2.554822519472659
0.305,2.559649012113149
0.31,2.5637159046646434
0.315,2.567625519950578
0.32,2.571574304189014
0.325,2.5752281944975417
0.33,2.5792657058011863
0.335,2.5835817876380345
0.34,2.5878909535357786
0.345,2.592237802652434
0.35,2.5965210478515077
0.355,2.599191672138757
0.36,2.6025931828023
0.365,2.6063472402739833
0.37,2.6094642004947746
0.375,2.612454321647251
0.38,2.6147697997557455
0.385,2.617716102770092
0.39,2.6210390197722457
0.395,2.6244716961296595
0.4,2.6274286118085355
0.405,2.630264996759983
0.41,2.6322139166519904
0.415,2.635019569578689
0.42,2.637329153364531
0.425,2.6397005978191284
0.43,2.6422858276987324
0.435,2.6446471257247217
0.44,2.6471187915813235
0.445,2.6492621274099664
0.45,2.6513382276245516
0.455,2.6540681890764515
0.46,2.6559481414141293
0.465,2.6584145442535134
0.47,2.659891187469444
0.475,2.662067293378728
0.48,2.6634486060664466
0.485,2.6650369825546045
0.49,2.6662209661906067
0.495,2.667937869626925
0.5,2.6698181539545462
0.505,2.671609396465384
0.51,2.6732043367827565
0.515,2.6752893885880944
0.52,2.6773083777581292
0.525,2.677478114622834
0.53,2.6794572070631557
0.535,2.680141216757298
0.54,2.6820775561594736
0.545,2.6829856580471496
0.55,2.6838615701255373
0.555,2.6856452686056604
0.56,2.6868105562724196
0.565,2.6878173140625004
0.57,2.68917776069599
0.575,2.690448076697173
0.58,2.691892804691097
0.585,2.6933926824374566
0.59,2.694802271198264
0.595,2.6960234810355255
0.6,2.6974104077214545
0.605,2.699420950882723
0.61,2.7011478788829018
0.615,2.7013915878225454
0.62,2.7029359277174936
0.625,2.703732526894235
0.63,2.7050805674508513
0.635,2.7057785630618163
0.64,2.707747599400632
0.645,2.7079756151600343
0.65,2.709188535904023
0.655,2.7106286868845
0.66,2.71072257613324
0.665,2.711334297040542
0.67,2.712298668393798
0.675,2.7133781240975514
0.68,2.7142645566236667
0.685,2.7153462967762634
0.69,2.7157383101925894
0.695,2.7161674479839966
0.7,2.716796426932453
0.705,2.717483558445898
0.71,2.718066135137197
0.715,2.7192182028877565
0.72,2.7202088705737895
0.725,2.720657854361001
0.73,2.7209324468280762
0.735,2.7214454931007124
0.74,2.7219473529565636
0.745,2.7218450489473383
0.75,2.721946984393911
0.755,2.722841127617407
0.76,2.7222965277278997
0.765,2.7233595525120795
0.77,2.7232132338424204
0.775,2.7240957881789827
0.78,2.723756248694076
0.785,2.7249172754816047
0.79,2.724774687351177
0.795,2.724972535065707
0.8,2.7260373487760154
0.805,2.7259815391145255
0.81,2.7263619478677015
0.815,2.7273458269004363
0.82,2.7277634938237743
0.825,2.7280219736914755
0.83,2.728089308708359
