# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
6
# Total LET value for curve
26.273352959
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_CarbonRun960MeV.csv
# Written at: 2019-04-11 09:29:44.937000
# r,Energy
0.0,0.07793464845044751
0.005,0.11605469619537659
0.01,0.1278432511468596
0.015,0.13467820186316046
0.02,0.13843224553540134
0.025,0.14153926250715673
0.03,0.14434405365911487
0.035,0.14686010424013168
0.04,0.14899699331449837
0.045,0.15069679849744008
0.05,0.15375088102183873
0.055,0.15511596673386682
0.06,0.15655580855303225
0.065,0.1579691248577651
0.07,0.159338460561384
0.075,0.160675505720708
0.08,0.16181973613553954
0.085,0.16297154964286203
0.09,0.16409953924321602
0.095,0.16513727841704512
0.1,0.16610086862800505
0.105,0.16702741338101787
0.11,0.16797054886125068
0.115,0.1688377523691198
0.12,0.16963612722692017
0.125,0.17049933645184456
0.13,0.17127611409188986
0.135,0.17202701038468426
0.14,0.17276788047121644
0.145,0.17352587983549017
0.15,0.17425996387918097
0.155,0.17491089864823092
0.16,0.17551549905747083
0.165,0.17610701235832704
0.17,0.1767292976131758
0.175,0.17734580099333547
0.18,0.17795981713925937
0.185,0.1784801529279694
0.19,0.17898450904255334
0.195,0.17944438371749993
0.2,0.17996657379408637
0.205,0.18044738702364152
0.21,0.18092255056319043
0.215,0.18141749285499223
0.22,0.18191882167775164
0.225,0.1824024226393382
0.23,0.1828330634908554
0.235,0.18330780424565715
0.24,0.18366993058430658
0.245,0.18411194171330944
0.25,0.18452840758422806
0.255,0.18487278049947306
0.26,0.18524641674596212
0.265,0.18561276858744633
0.27,0.18596890688925652
0.275,0.18626702337009132
0.28,0.18657712353650788
0.285,0.18696871478649546
0.29,0.18731380400871106
0.295,0.18772542666309602
0.3,0.18804606075026756
0.305,0.18842487673955777
0.31,0.1887216533301605
0.315,0.18900460349100281
0.32,0.18930022186938117
0.325,0.18960921225946326
0.33,0.18992404875794772
0.335,0.19024732348090176
0.34,0.19055114688454441
0.345,0.1908608271189473
0.35,0.191177561676207
0.355,0.1914823577345967
0.36,0.19177713180511066
0.365,0.19209136057215756
0.37,0.19232259333228752
0.375,0.19253792667694425
0.38,0.19276138263300602
0.385,0.19301529039861448
0.39,0.19329284218239354
0.395,0.19358428763151325
0.4,0.19380863159309583
0.405,0.19412602625285325
0.41,0.194352643378444
