# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
6
# Total LET value for curve
390.336401606
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_CarbonRun36MeV.csv
# Written at: 2019-04-11 09:23:18.099000
# r,Energy
0.0,1.4873452621614676
0.005,2.326909733883813
0.01,2.591615394938933
0.015,2.7690548822494154
0.02,2.896374961740435
0.025,2.9994513398847285
0.03,3.088484005601609
0.035,3.1662816799416045
0.04,3.234471777791707
0.045,3.292770814116957
0.05,3.3707115342724516
0.055,3.415299367900156
0.06,3.458744948877275
0.065,3.4979686153740124
0.07,3.534787669480738
0.075,3.5708668129904515
0.08,3.6029302594648813
0.085,3.63212586489926
0.09,3.660644260793256
0.095,3.6848860652756237
0.1,3.707826277243174
0.105,3.7304406675249537
0.11,3.7500959214690797
0.115,3.7695916295533403
0.12,3.786646519609385
0.125,3.8023896750313173
0.13,3.817739923417753
0.135,3.832913083392414
0.14,3.848215763737911
0.145,3.8623980043541133
0.15,3.874176639716632
0.155,3.885405848643512
0.16,3.8973614180839626
0.165,3.9077265638502636
0.17,3.916066858195172
0.175,3.924015942423718
0.18,3.9318411056948825
0.185,3.938693558191767
0.19,3.9465441550523814
0.195,3.954914340738821
0.2,3.961057714642685
0.205,3.9664383812164434
0.21,3.972389108056821
0.215,3.977486992422474
0.22,3.9820118942702023
0.225,3.9871714867992187
0.23,3.99210820255268
0.235,3.995646617560434
0.24,3.9989950986561826
0.245,4.0024398921239035
0.25,4.005132522160255
0.255,4.008252407138631
0.26,4.011735681973765
0.265,4.0144470659842
0.27,4.015788498718174
0.275,4.017500491333817
0.28,4.019225129708345
0.285,4.02112650395007
0.29,4.022611576668573
0.295,4.02376663408837
0.3,4.024391379147998
0.305,4.025270459070204
0.31,4.026389585796354
0.315,4.02728559030989
0.32,4.028072057294145
0.325,4.028196796886524
0.33,4.028413493827631
0.335,4.02884539904325
0.34,4.028934572095836
0.345,4.028908791793334
0.35,4.029136098064402
0.355,4.030032039542802
0.36,4.030621963862413
0.365,4.0307311780006705
0.37,4.029633058345673
0.375,4.028492169888934
0.38,4.026934350608696
0.385,4.026092443259657
0.39,4.025232167174628
0.395,4.0247807966028795
0.4,4.024180678318976
0.405,4.023818323951888
0.41,4.023212651905949
0.415,4.022321180288341
0.42,4.021126811394244
0.425,4.019856382444126
0.43,4.018764240608719
0.435,4.017429490196076
0.44,4.016220546409745
0.445,4.01447348544046
0.45,4.012761265005357
0.455,4.011459413348855
0.46,4.010032832707892
0.465,4.009160950262153
0.47,4.008233031131078
0.475,4.007428564056174
0.48,4.006155497761295
0.485,4.005091585800336
0.49,4.003133913196175
0.495,4.001782279716901
0.5,4.000152745104026
0.505,3.9986729324145394
0.51,3.997360283920441
0.515,3.9961902800732556
0.52,3.9951549043001653
0.525,3.993457330143717
0.53,3.9923621844074413
0.535,3.990706371457061
0.54,3.9892047600512455
0.545,3.9878108063716597
0.55,3.986221051914863
0.555,3.9850519869639247
0.56,3.983882587967278
0.565,3.9827590454803166
0.57,3.9817827490088273
0.575,3.9807284856739393
0.58,3.9797891581592717
0.585,3.978836652645341
0.59,3.977615128475747
0.595,3.976587335400877
0.6,3.9755131376894437
0.605,3.974437660953058
0.61,3.973483027158679
0.615,3.972029164971843
0.62,3.9707158201978383
0.625,3.9695628153055598
0.63,3.9684523998790255
0.635,3.9673585476834776
0.64,3.9664645960313583
0.645,3.9652007165033747
0.65,3.9641320733045404
0.655,3.963191918088546
0.66,3.9620480692157654
0.665,3.9610291461638907
0.67,3.960118684155261
0.675,3.9591291299336406
0.68,3.9581749746011905
0.685,3.957330906278185
0.69,3.9564968648977636
0.695,3.955706870185934
0.7,3.9549571261367267
0.705,3.9541758654921844
0.71,3.9533285861789946
0.715,3.952605727998429
0.72,3.951894349749117
0.725,3.951036679024268
0.73,3.9502698370698797
0.735,3.9495593301769767
0.74,3.948805186470617
0.745,3.948041287479463
0.75,3.9473434802375573
0.755,3.9466728913509326
0.76,3.9458621622994348
0.765,3.945203616046553
0.77,3.944536819602225
0.775,3.9438923267679145
0.78,3.943225298009612
0.785,3.9426487092429174
0.79,3.9420393024786704
0.795,3.9413734049771496
0.8,3.94079491082505
0.805,3.9402167187714334
0.81,3.9396504552828855
0.815,3.9390852913667644
0.82,3.938548573453465
0.825,3.938027310783897
0.83,3.9374789839832247
0.835,3.936930319977484
0.84,3.9364270022222425
0.845,3.93593955530637
0.85,3.9353639180400988
0.855,3.9348043376240844
0.86,3.93430010475614
0.865,3.933822276469798
0.87,3.933365621353808
0.875,3.9329258016144824
0.88,3.93249918122262
0.885,3.9320863032140934
0.89,3.9316903860265513
0.895,3.931311119712078
0.9,3.9309374655875184
0.905,3.930569780516413
0.91,3.930179117422586
0.915,3.929778627109204
0.92,3.9294075358997564
0.925,3.9290540207003155
0.93,3.928709554660435
0.935,3.928370136854428
0.94,3.9280428545540635
0.945,3.9277252101922637
0.95,3.927407631441908
0.955,3.927073125076625
0.96,3.926756281881707
0.965,3.9264471047854403
0.97,3.9261516382076067
0.975,3.925848422912195
0.98,3.9255462771573852
0.985,3.925258105320448
0.99,3.9249796777852968
0.995,3.924709438630831
1.0,3.9244594502548025
1.005,3.9242095271476387
1.01,3.923966024983736
1.015,3.923721521459997
1.02,3.9234872640105136
1.025,3.9232536903642736
1.03,3.9230250455307214
1.035,3.9228038074564795
1.04,3.922580465900059
1.045,3.9223583016685706
1.05,3.9221383299620354
1.055,3.9219219354016848
1.06,3.9217109893434516
1.065,3.921504745909036
1.07,3.92128363277833
1.075,3.921061299301237
1.08,3.92085225624547
1.085,3.920649683688876
1.09,3.920452615052107
1.095,3.9202643865680176
1.1,3.920081049745479
1.105,3.919899190172375
1.11,3.9197203150758155
1.115,3.9195447530556633
1.12,3.9193761295013734
1.125,3.9192138001618018
1.13,3.9190510454261167
1.135,3.918889949222457
1.14,3.9187305839473368
1.145,3.9185685569983857
1.15,3.918400734796199
1.155,3.9182409020250515
1.16,3.9180849840271175
1.165,3.9179321204323023
1.17,3.9177816989271443
1.175,3.917629734530777
1.18,3.9174833828470743
1.185,3.9173450072784135
1.19,3.9171998879242427
1.195,3.917066704364596
1.2,3.9169253450269803
1.205,3.9167966784955666
1.21,3.9166593258213847
1.215,3.9165344838044
1.22,3.91640137497456
1.225,3.9162795959371226
1.23,3.9161512985994524
1.235,3.9160287875118946
1.24,3.915910459405485
1.245,3.9157877949933564
1.25,3.915675259554848
1.255,3.91555460747248
1.26,3.915445978003051
1.265,3.915328121971193
1.27,3.9152227545523806
1.275,3.9151080115821846
1.28,3.915005350759251
1.285,3.9148941055788917
1.29,3.914793205843748
1.295,3.914686431169264
1.3,3.9145832996257868
1.305,3.914486443948044
1.31,3.9143827844988457
1.315,3.9142900318125933
1.32,3.914188112508147
1.325,3.914098448896044
1.33,3.9139989097133356
1.335,3.9139119282678796
1.34,3.913815439403021
1.345,3.9137320926974875
1.35,3.9136514281156307
1.355,3.9135667520573056
1.36,3.91348488495603
1.365,3.9134014064174716
1.37,3.913322000443768
1.375,3.9132426209229343
1.38,3.9131906336546605
1.385,3.913130049969845
1.39,3.913071836838452
1.395,3.9130013370442924
1.4,3.912940090158412
1.405,3.9128673435354475
1.41,3.9127952296947175
1.415,3.9127035285941996
1.42,3.912626398792421
1.425,3.9125489213307487
1.43,3.9124740850130992
1.435,3.912402837709853
1.44,3.9123275359323495
1.445,3.9122427849024044
1.45,3.912164414708754
1.455,3.9120844323136104
1.46,3.9120144835444046
1.465,3.9119377708908085
1.47,3.911870908823547
1.475,3.9117979686220923
1.48,3.9117316176792545
1.485,3.9116655976934505
1.49,3.911594762669549
1.495,3.91153313044442
1.5,3.9114638535239172
1.505,3.9114039498179376
1.51,3.9113379966065573
1.515,3.911277305403815
1.52,3.9112176427317173
1.525,3.9111524990424353
1.53,3.911096640144317
1.535,3.9110328912894143
1.54,3.910978365908989
1.545,3.9109187507422756
1.55,3.910861711521109
1.555,3.910807822222043
1.56,3.9107477398644117
1.565,3.9106971550114493
1.57,3.91063873995123
1.575,3.9105898270145425
1.58,3.910538682458373
1.585,3.910506612507
1.59,3.9104663615050708
1.595,3.910423891201666
1.6,3.910380946829221
1.605,3.910338311384721
1.61,3.9102984465728543
1.615,3.91025564874199
1.62,3.9102253556247284
1.625,3.910203251056216
1.63,3.910172808473381
1.635,3.910140178855986
1.64,3.9101065490926223
1.645,3.910072768987036
1.65,3.9100415827422523
1.655,3.909999738033874
1.66,3.9099257479860663
1.665,3.9098655935296667
1.67,3.9098123114723586
1.675,3.9097620353715348
1.68,3.909713717733477
1.685,3.909666848956876
1.69,3.909621177260535
1.695,3.909576644555211
1.7,3.9095342648756812
1.705,3.9094919382917106
1.71,3.9094501017820122
1.715,3.909408817547614
1.72,3.909368081899644
1.725,3.909327911332514
1.73,3.909288353241841
1.735,3.909249945931965
1.74,3.9092151601408016
1.745,3.9091790260486605
1.75,3.9091428616435913
1.755,3.909106883890033
1.76,3.9090712074452316
1.765,3.9090358961300575
1.77,3.9090010785762894
1.775,3.9089675529007937
1.78,3.9089411830217773
1.785,3.908911485047712
1.79,3.908881039720617
1.795,3.9088503620396446
1.8,3.9088196421426216
1.805,3.90878895187657
1.81,3.908758347999041
1.815,3.9087279657688483
1.82,3.908698600977444
1.825,3.9086696916427064
1.83,3.9086426442424536
1.835,3.9086148052159766
1.84,3.908586719650694
1.845,3.908558448771135
1.85,3.908529932392314
1.855,3.9085008613778895
1.86,3.9084650233327403
1.865,3.908422279746767
1.87,3.9083880363735983
1.875,3.9083549561468454
1.88,3.9083226210560476
1.885,3.9082908036735415
1.89,3.9082592068666493
1.895,3.9082264882946123
1.9,3.9081949360508674
1.905,3.9081569700163743
1.91,3.908120758260837
1.915,3.908087063020051
1.92,3.908054437766178
1.925,3.9080225696832076
1.93,3.907991300666321
1.935,3.9079604930638294
1.94,3.907929817889186
1.945,3.9078982457813134
1.95,3.9078698398949436
1.955,3.9078413060957717
1.96,3.9078130028118583
1.965,3.9077850058402066
1.97,3.9077573303159068
1.975,3.9077299910413474
1.98,3.907703003791656
1.985,3.907676294367583
1.99,3.9076491684005243
1.995,3.907635655093769
2.0,3.9076209370059485
2.005,3.907601393656456
2.01,3.9075780118983654
2.015,3.907560232438184
2.02,3.9075401917875543
2.025,3.9075158504416336
2.03,3.907496047532042
2.035,3.9074760856370263
2.04,3.9074503469044637
2.045,3.907419731260527
2.05,3.907396086805847
2.055,3.9073720584643525
2.06,3.9073461752861807
2.065,3.90732463940859
2.07,3.9073022877937142
2.075,3.907277695872995
2.08,3.9072573182337353
2.085,3.9072369609469604
2.09,3.9072207574313023
2.095,3.9072084667550677
2.1,3.907192588274952
2.105,3.9071706293215724
2.11,3.9071565695974284
2.115,3.9071390890426247
2.12,3.90711718886641
2.125,3.9071028662123726
2.13,3.907083667662513
2.135,3.907063010164695
2.14,3.907043529926757
2.145,3.907019775718694
2.15,3.90700305278453
2.155,3.9069842752203665
2.16,3.906962334758297
2.165,3.906946691842471
2.17,3.906924808604785
2.175,3.9069090962685187
2.18,3.906891798500493
2.185,3.906870732172927
2.19,3.9068586703845565
2.195,3.9068378642075374
2.2,3.906824841827437
2.205,3.9068060109791958
2.21,3.906789872075395
2.215,3.90677509027904
2.22,3.906754465206559
2.225,3.9067416338971075
2.23,3.9067205507139957
2.235,3.9067067816218217
2.24,3.9066788792239415
2.245,3.9066586588334467
2.25,3.9066378010366165
2.255,3.9066183547165996
2.26,3.906600243570772
2.265,3.9065801446213624
2.27,3.9065635774030487
2.275,3.906543629649583
2.28,3.9065278736158158
2.285,3.9065080228138447
2.29,3.906488138330901
2.295,3.9064748610332827
2.3,3.9064582719406764
2.305,3.906435844979922
2.31,3.9064238023297513
2.315,3.9064089395462704
2.32,3.9063921813324063
2.325,3.9063709511431757
2.33,3.906359438018509
2.335,3.906345006283218
2.34,3.906327842059452
2.345,3.906308618167366
2.35,3.906297341217468
2.355,3.906283259821358
2.36,3.9062637778314575
2.365,3.906249585939358
2.37,3.9062375213396883
2.375,3.9062236772072416
2.38,3.9062033517708765
2.385,3.906191821643058
2.39,3.9061796807542204
2.395,3.906166482434926
2.4,3.9061500624700423
2.405,3.9061376024109964
2.41,3.9061211755687952
2.415,3.906108995597277
2.42,3.906093729602368
2.425,3.906079548320928
2.43,3.9060678893766476
2.435,3.9060525806762145
2.44,3.9060418121861185
2.445,3.906026806340943
2.45,3.906016706422683
2.455,3.9060105061466537
2.46,3.9060034029834463
2.465,3.9060006762386297
2.47,3.905987294067245
2.475,3.905983044236578
2.48,3.905970230559699
