# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
7
# Total LET value for curve
279.45417113
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_NitrogenRun96MeV.csv
# Written at: 2019-04-11 10:20:59.345000
# r,Energy
0.0,0.9095845465573521
0.005,1.3886401717412793
0.01,1.539847145683732
0.015,1.6346729965492492
0.02,1.6974895097520153
0.025,1.750536737250223
0.03,1.7977301830719519
0.035,1.8375748228187176
0.04,1.8718680677383335
0.045,1.9014315858731528
0.05,1.9469881253283947
0.055,1.97031822417022
0.06,1.994670703901128
0.065,2.018767107119364
0.07,2.040670128127378
0.075,2.061748498275439
0.08,2.0819330616557186
0.085,2.1013484091378314
0.09,2.1198100444648045
0.095,2.1367337698091386
0.1,2.152672540679372
0.105,2.1683965867110415
0.11,2.1824082229490784
0.115,2.196300679667746
0.12,2.2100026372850916
0.125,2.223543968845217
0.13,2.236724197328381
0.135,2.2490337629683355
0.14,2.260503730331174
0.145,2.2715087795709956
0.15,2.2827647313468957
0.155,2.2942627455724347
0.16,2.3044813611795676
0.165,2.314326709674668
0.17,2.324489515275708
0.175,2.3334270356525093
0.18,2.3424311344349467
0.185,2.3518750207605894
0.19,2.360301378797135
0.195,2.368071436914431
0.2,2.376183052470939
0.205,2.3838460718465453
0.21,2.391464324741382
0.215,2.39898815946076
0.22,2.406599757667181
0.225,2.413728673683303
0.23,2.4212410350185922
0.235,2.4289121130873124
0.24,2.4351774451703263
0.245,2.4418793334222535
0.25,2.4479958109111544
0.255,2.4540983304575397
0.26,2.460507922509685
0.265,2.4666718534070897
0.27,2.473398010222851
0.275,2.4798825105509588
0.28,2.485902791646073
0.285,2.4921099796749835
0.29,2.497479889319479
0.295,2.50321964147896
0.3,2.5083828418519
0.305,2.5140236500610262
0.31,2.5190431332469343
0.315,2.5244941001519123
0.32,2.529857792805445
0.325,2.534598857809956
0.33,2.5392790598407835
0.335,2.5438390146078516
0.34,2.5474862146524533
0.345,2.552207473604995
0.35,2.5571615854038754
0.355,2.5608100861401875
0.36,2.565051019848795
0.365,2.569799929626026
0.37,2.574188335044701
0.375,2.5784143883478445
0.38,2.582261005743942
0.385,2.586375555291759
0.39,2.5903348704845564
0.395,2.594446961869052
0.4,2.5977534128446718
0.405,2.6020942219615772
0.41,2.6057532896590665
0.415,2.6104860281800253
0.42,2.61434710349557
0.425,2.6183110185907803
0.43,2.6224634442058252
0.435,2.6262036381925364
0.44,2.62997945954487
0.445,2.6332811967192895
0.45,2.6363738306178215
0.455,2.6403070348693416
0.46,2.6427821360218586
0.465,2.646308246152606
0.47,2.6483723659902343
0.475,2.6516990609441367
0.48,2.6544436165607155
0.485,2.6570950664914865
0.49,2.6598011061354736
0.495,2.6628204087752874
0.5,2.665681124503822
0.505,2.668304975629909
0.51,2.67095302885096
0.515,2.6747629498758143
0.52,2.6782413293347243
0.525,2.6797019331545546
0.53,2.683576331744548
0.535,2.685160153451754
0.54,2.688780103685391
0.545,2.690520057864201
0.55,2.692538419154084
0.555,2.695803761778167
0.56,2.6979028912143304
0.565,2.699652172719646
0.57,2.701888337879052
0.575,2.703664973332811
0.58,2.7057425776128734
0.585,2.707958849377346
0.59,2.7100437162281326
0.595,2.7117720449340603
0.6,2.7136970533125093
0.605,2.716550202900156
0.61,2.719060578186476
0.615,2.719868208985394
0.62,2.7229378819232704
0.625,2.7243907115544603
0.63,2.726498425869831
0.635,2.7274939500794027
0.64,2.7306750550741117
0.645,2.731826316793182
0.65,2.734405560281639
0.655,2.737221241649846
