# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
7
# Total LET value for curve
730.359632812
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_NitrogenRun24MeV.csv
# Written at: 2019-04-11 10:18:58.046000
# r,Energy
0.0,3.2958598391362246
0.005,5.398396952831792
0.01,6.024980059558878
0.015,6.435595867528729
0.02,6.71488351807345
0.025,6.92416530285327
0.03,7.089594916841825
0.035,7.212971185271213
0.04,7.30810724564699
0.045,7.382521435235462
0.05,7.474960126727094
0.055,7.506023254098546
0.06,7.534037435968034
0.065,7.55643636983764
0.07,7.572296354187751
0.075,7.581096050606787
0.08,7.586500129767456
0.085,7.589712912370429
0.09,7.588276227716005
0.095,7.584011602226279
0.1,7.576199514962406
0.105,7.567518902970548
0.11,7.557751804176773
0.115,7.545475721635596
0.12,7.534465467859729
0.125,7.523678040356373
0.13,7.512876381712651
0.135,7.501801698932049
0.14,7.491243692707376
0.145,7.480164672120379
0.15,7.469533537776869
0.155,7.459939355100291
0.16,7.45030064938453
0.165,7.441404972457077
0.17,7.433142718222162
0.175,7.425491211333178
0.18,7.418383080049539
0.185,7.411721484639143
0.19,7.405697316113752
0.195,7.399757845522778
0.2,7.393954631680509
0.205,7.388686651701621
0.21,7.383668549261129
0.215,7.379330607446177
0.22,7.375261822597375
0.225,7.3714766072366995
0.23,7.367942728163057
0.235,7.364634569216755
0.24,7.361584522515034
0.245,7.358705710686766
0.25,7.3560072398393075
0.255,7.3534608457305435
0.26,7.351087359017766
0.265,7.34891026742464
0.27,7.3469215551407725
0.275,7.345090460562205
0.28,7.343353041035239
0.285,7.341698555434682
0.29,7.340122388655829
0.295,7.3386621181965666
0.3,7.3373025480689416
0.305,7.336023757482625
0.31,7.334823859391586
0.315,7.33369056901469
0.32,7.332619175795357
0.325,7.331607879548142
0.33,7.33064644931491
0.335,7.329737777859625
0.34,7.328873399947176
0.345,7.3280498578678115
0.35,7.327269116737185
0.355,7.326521812826016
0.36,7.3258123796660515
0.365,7.325134306325153
0.37,7.324484246518104
0.375,7.323866364094512
0.38,7.323271712608788
0.385,7.322705092834229
0.39,7.322161814809178
0.395,7.321638085225391
0.4,7.321139528394284
0.405,7.3206577231747225
0.41,7.3201967068818545
0.415,7.319754256846345
0.42,7.319325922267514
0.425,7.318923175180529
0.43,7.3185311815988
0.435,7.318150591784435
0.44,7.317783932174707
0.445,7.317431061229181
0.45,7.317091676172009
0.455,7.3167765371445155
0.46,7.316475842396319
0.465,7.316166220528197
0.47,7.315853353349693
0.475,7.315561332048197
0.48,7.315278143513486
0.485,7.315007317529885
